hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,customer_type,country,adr,total_nights,revenue,deposit_type,distribution_channel,market_segment
Resort Hotel,1,226,2017,7,0,1,Transient,PRT,93.61,1,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,316,2017,10,0,1,Transient,PRT,75.76,1,75.76,Non Refund,Corporate,Direct
City Hotel,1,585,2015,4,2,2,Transient,PRT,113.61,4,0.0,No Deposit,GDS,Aviation
Resort Hotel,0,16,2015,5,0,0,Transient,PRT,119.51,1,119.51,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,1,2016,5,1,1,Transient-Party,GBR,75.37,2,150.75,Refundable,TA/TO,Online TA
Resort Hotel,0,67,2016,8,0,0,Contract,CHE,65.73,1,65.73,No Deposit,TA/TO,Complementary
City Hotel,0,570,2016,8,1,0,Transient,PRT,75.52,1,75.52,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,86,2017,7,3,0,Transient,GBR,51.08,3,0.0,Non Refund,Direct,Online TA
City Hotel,1,36,2017,4,0,3,Transient,FRA,120.06,3,0.0,No Deposit,TA/TO,Corporate
Resort Hotel,0,0,2015,10,0,0,Contract,ITA,114.09,1,114.09,No Deposit,TA/TO,Aviation
City Hotel,0,7,2016,8,2,2,Transient,ITA,78.51,4,314.03,No Deposit,Direct,Direct
City Hotel,0,128,2016,4,0,1,Transient,FRA,66.41,1,66.41,No Deposit,TA/TO,Corporate
Resort Hotel,0,12,2015,3,0,0,Transient-Party,DEU,134.26,1,134.26,No Deposit,TA/TO,Corporate
City Hotel,0,324,2017,12,1,1,Transient,PRT,82.46,2,164.92,Non Refund,TA/TO,Online TA
City Hotel,0,31,2016,8,1,3,Transient,DEU,121.64,4,486.57,No Deposit,TA/TO,Online TA
City Hotel,0,691,2017,10,0,1,Contract,FRA,157.73,1,157.73,No Deposit,TA/TO,Online TA
Resort Hotel,0,10,2015,4,1,2,Transient,NLD,105.31,3,315.94,No Deposit,TA/TO,Direct
City Hotel,0,8,2015,6,0,3,Transient,PRT,61.73,3,185.18,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,243,2015,8,2,0,Contract,CHE,82.38,2,164.76,Non Refund,TA/TO,Online TA
City Hotel,0,1,2017,5,0,1,Transient-Party,PRT,98.03,1,98.03,No Deposit,Corporate,Offline TA/TO
Resort Hotel,1,192,2016,2,0,4,Transient,DEU,114.98,4,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,271,2016,8,1,0,Transient,IRL,89.53,1,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,134,2015,5,2,1,Transient,FRA,144.18,3,432.54,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,28,2015,8,1,1,Transient,GBR,120.0,2,239.99,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,15,2016,7,3,2,Transient,PRT,161.57,5,807.84,No Deposit,Direct,Corporate
City Hotel,0,304,2015,7,1,1,Transient-Party,PRT,38.64,2,77.28,No Deposit,Corporate,Online TA
City Hotel,1,473,2016,2,2,1,Transient,ROU,81.79,3,0.0,No Deposit,Direct,Online TA
Resort Hotel,1,540,2017,6,1,0,Transient,FRA,79.55,1,0.0,No Deposit,TA/TO,Groups
City Hotel,0,3,2015,6,1,0,Transient,PRT,120.52,1,120.52,No Deposit,TA/TO,Corporate
Resort Hotel,0,73,2015,6,3,1,Transient,NOR,54.22,4,216.87,No Deposit,TA/TO,Online TA
City Hotel,0,5,2016,8,1,2,Group,PRT,87.61,3,262.84,No Deposit,Direct,Online TA
City Hotel,0,5,2017,11,1,1,Transient,ESP,104.4,2,208.81,Refundable,TA/TO,Online TA
City Hotel,1,287,2016,5,2,1,Transient,PRT,100.51,3,0.0,No Deposit,Direct,Online TA
City Hotel,0,8,2016,7,0,0,Transient,GBR,101.84,1,101.84,Non Refund,TA/TO,Online TA
City Hotel,1,144,2015,5,3,0,Transient,FRA,108.14,3,0.0,No Deposit,TA/TO,Direct
City Hotel,0,81,2016,4,1,0,Transient,PRT,125.39,1,125.39,No Deposit,TA/TO,Online TA
City Hotel,0,0,2015,11,0,3,Transient-Party,PRT,78.23,3,234.69,No Deposit,TA/TO,Online TA
Resort Hotel,0,221,2015,9,2,0,Transient,ITA,142.73,2,285.46,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,84,2016,7,1,0,Transient,FRA,121.92,1,121.92,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,119,2016,5,0,0,Group,BEL,133.24,1,133.24,No Deposit,TA/TO,Aviation
Resort Hotel,0,31,2017,10,1,0,Transient,NLD,77.03,1,77.03,No Deposit,TA/TO,Online TA
City Hotel,0,6,2016,11,0,2,Transient,GBR,128.77,2,257.53,No Deposit,TA/TO,Groups
City Hotel,0,81,2016,2,2,2,Transient,PRT,133.15,4,532.61,No Deposit,TA/TO,Corporate
Resort Hotel,0,33,2015,5,0,2,Transient,ROU,100.61,2,201.22,No Deposit,TA/TO,Corporate
Resort Hotel,0,178,2016,1,1,1,Transient,SWE,96.76,2,193.52,Non Refund,TA/TO,Online TA
City Hotel,1,280,2016,4,0,1,Transient,GBR,70.77,1,0.0,No Deposit,TA/TO,Direct
Resort Hotel,0,3,2017,7,2,1,Transient,FRA,154.45,3,463.36,No Deposit,TA/TO,Online TA
City Hotel,0,96,2016,1,1,0,Transient,IRL,118.75,1,118.75,No Deposit,TA/TO,Online TA
City Hotel,1,131,2016,1,1,0,Transient-Party,BRA,136.51,1,0.0,Non Refund,TA/TO,Groups
City Hotel,0,11,2016,3,2,2,Transient,GBR,163.7,4,654.78,No Deposit,TA/TO,Online TA
Resort Hotel,0,69,2015,12,1,2,Transient,PRT,35.12,3,105.36,No Deposit,TA/TO,Online TA
City Hotel,0,11,2017,10,2,0,Contract,FRA,122.19,2,244.38,No Deposit,TA/TO,Complementary
City Hotel,0,640,2016,6,0,2,Contract,ESP,107.78,2,215.56,No Deposit,Direct,Online TA
City Hotel,0,213,2015,7,0,5,Transient-Party,PRT,74.6,5,372.98,No Deposit,TA/TO,Online TA
City Hotel,1,656,2016,7,1,1,Transient,CHE,117.97,2,0.0,Refundable,TA/TO,Online TA
City Hotel,1,265,2016,4,2,2,Transient,GBR,175.24,4,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,326,2017,7,1,1,Transient,PRT,75.78,2,0.0,No Deposit,TA/TO,Complementary
City Hotel,1,9,2016,12,0,2,Transient,PRT,152.4,2,0.0,No Deposit,TA/TO,Corporate
City Hotel,0,20,2015,7,0,4,Transient,NLD,84.77,4,339.1,No Deposit,TA/TO,Online TA
City Hotel,1,711,2015,2,1,1,Transient,PRT,121.11,2,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,3,2015,4,1,1,Transient-Party,PRT,70.5,2,141.0,No Deposit,TA/TO,Online TA
City Hotel,0,29,2015,3,0,1,Transient,ITA,31.65,1,31.65,No Deposit,TA/TO,Direct
City Hotel,0,153,2017,8,1,0,Transient,PRT,139.6,1,139.6,No Deposit,GDS,Offline TA/TO
Resort Hotel,0,46,2015,12,2,3,Transient,ESP,161.51,5,807.54,No Deposit,TA/TO,Online TA
City Hotel,0,48,2015,5,0,1,Transient,PRT,99.74,1,99.74,No Deposit,TA/TO,Online TA
Resort Hotel,0,354,2016,3,2,2,Transient,PRT,111.39,4,445.58,No Deposit,Direct,Online TA
City Hotel,0,58,2017,5,2,3,Transient,PRT,83.29,5,416.43,Non Refund,TA/TO,Online TA
City Hotel,0,41,2015,12,1,0,Transient,GBR,67.71,1,67.71,Non Refund,TA/TO,Online TA
City Hotel,0,34,2015,8,2,1,Transient-Party,GBR,146.53,3,439.59,No Deposit,TA/TO,Online TA
City Hotel,0,5,2017,7,1,0,Transient,GBR,62.84,1,62.84,No Deposit,TA/TO,Online TA
City Hotel,0,1,2016,3,2,0,Transient-Party,USA,58.38,2,116.77,No Deposit,TA/TO,Corporate
City Hotel,0,1,2015,9,0,0,Transient,NLD,64.24,1,64.24,No Deposit,TA/TO,Online TA
City Hotel,0,62,2015,6,1,3,Transient,GBR,87.24,4,348.97,No Deposit,TA/TO,Aviation
City Hotel,1,135,2015,6,0,2,Transient,ESP,95.2,2,0.0,No Deposit,TA/TO,Direct
City Hotel,0,7,2016,10,0,0,Transient,PRT,104.95,1,104.95,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,167,2017,5,0,0,Transient,FRA,104.65,1,104.65,No Deposit,TA/TO,Online TA
City Hotel,0,6,2015,2,1,0,Transient,ROU,111.37,1,111.37,No Deposit,TA/TO,Online TA
City Hotel,0,15,2016,6,0,0,Transient,BRA,118.56,1,118.56,Refundable,TA/TO,Groups
Resort Hotel,1,70,2016,11,1,0,Transient,PRT,85.33,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,27,2016,6,1,0,Transient,GBR,138.09,1,138.09,No Deposit,GDS,Online TA
Resort Hotel,0,66,2015,1,1,0,Transient,DEU,105.77,1,105.77,Non Refund,TA/TO,Online TA
City Hotel,0,2,2015,10,0,2,Transient,GBR,106.73,2,213.46,Non Refund,TA/TO,Corporate
City Hotel,0,45,2017,5,0,0,Transient,DEU,28.08,1,28.08,No Deposit,Direct,Offline TA/TO
Resort Hotel,0,9,2017,10,2,2,Transient,PRT,158.33,4,633.31,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,78,2017,10,1,2,Transient,BEL,132.59,3,0.0,Non Refund,TA/TO,Online TA
City Hotel,1,161,2016,7,1,0,Transient,PRT,123.92,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,2,2015,6,0,1,Group,FRA,44.61,1,44.61,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,211,2016,6,1,0,Group,AUS,69.23,1,69.23,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,167,2017,11,0,0,Transient,BRA,58.34,1,0.0,No Deposit,TA/TO,Groups
City Hotel,0,721,2016,6,0,1,Transient,CHE,102.23,1,102.23,No Deposit,TA/TO,Groups
City Hotel,1,646,2015,2,3,3,Transient,PRT,140.24,6,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,138,2016,11,2,0,Transient,BEL,100.1,2,200.2,No Deposit,TA/TO,Online TA
City Hotel,0,3,2016,6,1,2,Transient,PRT,79.54,3,238.61,No Deposit,Corporate,Direct
City Hotel,1,132,2017,7,2,1,Transient,CHN,151.95,3,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,104,2016,2,0,1,Contract,SWE,144.47,1,144.47,No Deposit,TA/TO,Online TA
City Hotel,1,288,2015,11,1,1,Transient,CHE,50.21,2,0.0,Non Refund,TA/TO,Online TA
Resort Hotel,1,75,2016,4,2,3,Transient,DEU,65.23,5,0.0,No Deposit,TA/TO,Corporate
City Hotel,1,11,2017,11,0,2,Transient-Party,PRT,158.65,2,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,41,2016,6,2,2,Transient,GBR,99.55,4,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,71,2015,8,2,0,Transient,AUT,91.3,2,182.6,No Deposit,TA/TO,Online TA
Resort Hotel,0,25,2015,9,1,1,Transient,BEL,134.92,2,269.85,No Deposit,TA/TO,Online TA
City Hotel,0,492,2017,7,0,1,Transient-Party,PRT,157.54,1,157.54,No Deposit,TA/TO,Online TA
City Hotel,0,20,2015,8,0,2,Transient,IRL,89.64,2,179.28,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,27,2017,8,1,3,Transient,USA,114.76,4,459.03,No Deposit,TA/TO,Online TA
City Hotel,1,5,2016,6,0,2,Transient,FRA,136.48,2,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,21,2015,11,1,0,Transient,DEU,102.57,1,102.57,No Deposit,TA/TO,Online TA
City Hotel,0,149,2015,11,1,1,Transient,ESP,103.25,2,206.49,No Deposit,TA/TO,Online TA
City Hotel,0,6,2016,6,0,1,Transient,CHE,141.52,1,141.52,No Deposit,TA/TO,Online TA
City Hotel,1,514,2017,9,2,3,Transient,PRT,67.77,5,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,47,2015,10,0,0,Transient,PRT,86.23,1,86.23,No Deposit,TA/TO,Corporate
City Hotel,0,299,2016,2,0,0,Contract,PRT,69.82,1,69.82,Non Refund,TA/TO,Online TA
City Hotel,1,17,2015,11,2,0,Transient,PRT,99.29,2,0.0,Non Refund,Direct,Online TA
City Hotel,0,1,2017,10,1,1,Transient-Party,IRL,232.28,2,464.56,No Deposit,Corporate,Online TA
City Hotel,0,337,2017,12,2,0,Transient,SWE,110.47,2,220.94,No Deposit,TA/TO,Complementary
Resort Hotel,0,177,2016,9,0,0,Transient,ESP,77.31,1,77.31,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,1,2017,8,1,0,Transient-Party,FRA,130.68,1,130.68,No Deposit,TA/TO,Online TA
Resort Hotel,1,95,2016,5,2,0,Transient,FRA,111.06,2,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,446,2015,3,0,0,Transient,PRT,90.13,1,90.13,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,164,2016,7,3,2,Transient,ESP,102.74,5,0.0,No Deposit,Direct,Online TA
City Hotel,0,71,2017,1,0,2,Transient,PRT,76.8,2,153.61,No Deposit,TA/TO,Online TA
City Hotel,0,27,2016,5,0,0,Transient,PRT,113.05,1,113.05,No Deposit,TA/TO,Direct
City Hotel,1,688,2016,6,0,1,Transient,NLD,176.36,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,104,2017,1,2,0,Transient,ESP,83.69,2,167.39,No Deposit,TA/TO,Corporate
City Hotel,1,167,2017,4,2,0,Transient-Party,FRA,82.73,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,134,2016,9,3,4,Transient,PRT,88.82,7,621.77,No Deposit,TA/TO,Online TA
City Hotel,0,163,2016,6,2,0,Transient,ESP,110.39,2,220.77,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,143,2017,4,1,1,Transient,PRT,65.16,2,130.32,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,81,2016,12,2,1,Transient,DEU,100.4,3,0.0,No Deposit,Direct,Groups
City Hotel,0,27,2017,5,1,2,Transient,PRT,107.17,3,321.5,No Deposit,TA/TO,Online TA
City Hotel,1,314,2017,8,0,0,Transient,CHE,79.18,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,34,2016,12,3,1,Transient,ESP,85.69,4,342.75,No Deposit,TA/TO,Direct
City Hotel,1,336,2015,1,1,1,Transient,DEU,91.47,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,1,2016,9,1,1,Transient,GBR,71.01,2,142.02,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,315,2017,11,3,0,Transient,PRT,97.07,3,0.0,No Deposit,Direct,Offline TA/TO
City Hotel,0,94,2017,7,1,3,Transient,NLD,71.85,4,287.41,No Deposit,TA/TO,Direct
City Hotel,0,133,2017,7,1,2,Transient-Party,PRT,102.59,3,307.78,No Deposit,TA/TO,Online TA
City Hotel,0,105,2017,5,2,0,Contract,DEU,91.21,2,182.43,No Deposit,TA/TO,Online TA
City Hotel,0,157,2017,12,2,1,Transient,FRA,144.83,3,434.48,No Deposit,TA/TO,Aviation
City Hotel,1,610,2017,8,0,2,Transient,DEU,131.22,2,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,21,2017,11,0,1,Contract,PRT,96.32,1,96.32,No Deposit,Corporate,Online TA
Resort Hotel,0,2,2015,5,0,1,Transient,GBR,107.66,1,107.66,No Deposit,TA/TO,Corporate
City Hotel,0,66,2015,4,2,0,Transient,FRA,108.93,2,217.86,No Deposit,GDS,Online TA
City Hotel,1,72,2016,7,1,2,Transient,GBR,115.47,3,0.0,No Deposit,Corporate,Online TA
City Hotel,0,25,2016,9,1,1,Transient,BRA,82.63,2,165.27,No Deposit,TA/TO,Online TA
Resort Hotel,1,281,2017,7,0,2,Transient,BRA,83.4,2,0.0,Non Refund,TA/TO,Offline TA/TO
City Hotel,1,50,2017,10,1,0,Transient,DEU,152.99,1,0.0,No Deposit,TA/TO,Direct
City Hotel,0,341,2016,2,0,3,Transient,PRT,101.33,3,303.98,No Deposit,TA/TO,Direct
Resort Hotel,1,152,2017,5,1,1,Transient,PRT,65.43,2,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,1,19,2015,12,0,0,Transient,USA,113.27,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,19,2015,8,2,2,Transient-Party,FRA,56.51,4,226.06,No Deposit,TA/TO,Online TA
City Hotel,0,96,2017,1,0,2,Group,CHE,127.13,2,254.26,No Deposit,TA/TO,Online TA
City Hotel,1,355,2015,9,0,0,Transient,NLD,146.39,1,0.0,No Deposit,TA/TO,Direct
Resort Hotel,1,23,2016,7,1,3,Transient,DEU,91.1,4,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,23,2016,5,0,2,Transient,ESP,107.78,2,215.57,No Deposit,TA/TO,Online TA
City Hotel,0,76,2017,9,1,1,Transient,ESP,78.48,2,156.95,No Deposit,TA/TO,Complementary
City Hotel,0,1,2017,1,0,1,Transient,PRT,128.73,1,128.73,No Deposit,TA/TO,Groups
City Hotel,0,36,2017,9,2,0,Transient,NOR,75.06,2,150.12,No Deposit,TA/TO,Online TA
Resort Hotel,0,26,2015,11,1,4,Transient,PRT,65.33,5,326.64,No Deposit,TA/TO,Online TA
City Hotel,0,112,2017,6,2,0,Transient-Party,USA,69.62,2,139.24,No Deposit,TA/TO,Online TA
City Hotel,1,148,2015,11,2,1,Transient,GBR,159.34,3,0.0,No Deposit,TA/TO,Complementary
City Hotel,1,81,2016,1,2,2,Transient,PRT,62.27,4,0.0,No Deposit,Direct,Online TA
City Hotel,0,6,2016,10,1,2,Transient,GBR,102.46,3,307.37,No Deposit,Corporate,Complementary
City Hotel,1,78,2016,4,0,0,Transient,PRT,110.8,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,250,2016,8,2,0,Transient,USA,86.66,2,0.0,No Deposit,TA/TO,Complementary
City Hotel,0,29,2016,10,2,4,Transient,ROU,133.82,6,802.93,No Deposit,TA/TO,Complementary
City Hotel,1,65,2016,10,1,2,Transient,PRT,162.07,3,0.0,Non Refund,TA/TO,Offline TA/TO
City Hotel,1,579,2016,4,2,1,Transient-Party,NLD,90.62,3,0.0,No Deposit,Direct,Online TA
City Hotel,0,82,2016,10,0,1,Transient,GBR,117.84,1,117.84,No Deposit,TA/TO,Groups
City Hotel,0,18,2015,4,3,0,Transient,PRT,66.72,3,200.15,Non Refund,TA/TO,Online TA
City Hotel,1,179,2015,9,1,2,Transient-Party,FRA,104.18,3,0.0,No Deposit,Corporate,Online TA
City Hotel,0,229,2015,6,2,3,Transient,FRA,68.37,5,341.83,No Deposit,TA/TO,Aviation
City Hotel,0,54,2017,12,2,0,Transient,ESP,85.7,2,171.4,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,41,2017,6,0,0,Transient,PRT,104.31,1,104.31,No Deposit,TA/TO,Online TA
City Hotel,1,176,2015,2,2,0,Transient,NOR,105.14,2,0.0,Non Refund,Direct,Online TA
Resort Hotel,1,16,2015,12,0,4,Transient,ESP,83.58,4,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,238,2015,11,2,0,Transient,RUS,81.45,2,162.9,No Deposit,TA/TO,Complementary
Resort Hotel,0,96,2016,8,2,2,Transient,AUT,154.17,4,616.67,No Deposit,TA/TO,Online TA
City Hotel,0,3,2015,8,2,2,Transient,ROU,144.73,4,578.94,No Deposit,TA/TO,Online TA
Resort Hotel,0,21,2016,8,3,1,Transient,ESP,54.91,4,219.66,No Deposit,TA/TO,Online TA
Resort Hotel,1,691,2017,6,0,1,Transient,ESP,58.91,1,0.0,Non Refund,TA/TO,Offline TA/TO
City Hotel,1,207,2017,4,0,1,Transient,PRT,128.26,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,45,2016,9,0,2,Transient,ITA,107.05,2,0.0,No Deposit,TA/TO,Corporate
City Hotel,1,54,2016,11,1,1,Transient,NLD,68.6,2,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,8,2017,10,1,4,Transient,ESP,76.21,5,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,87,2015,1,2,1,Transient,GBR,120.89,3,362.67,No Deposit,TA/TO,Online TA
Resort Hotel,1,84,2016,4,1,0,Transient,FRA,120.99,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,85,2017,8,0,4,Transient,SWE,122.42,4,489.7,No Deposit,TA/TO,Online TA
City Hotel,0,24,2017,6,1,2,Contract,BRA,139.33,3,417.98,Non Refund,TA/TO,Online TA
Resort Hotel,1,8,2016,1,1,2,Transient,PRT,73.13,3,0.0,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,504,2015,5,0,0,Transient,SWE,139.52,1,139.52,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,206,2015,9,0,2,Transient,GBR,70.43,2,0.0,No Deposit,TA/TO,Corporate
City Hotel,1,6,2017,9,0,1,Contract,ESP,84.97,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,249,2015,6,0,1,Transient,ESP,74.97,1,74.97,No Deposit,TA/TO,Groups
City Hotel,0,147,2016,4,1,0,Transient,ITA,83.17,1,83.17,No Deposit,Corporate,Online TA
Resort Hotel,0,123,2016,7,1,2,Transient,FRA,125.07,3,375.21,No Deposit,TA/TO,Online TA
City Hotel,0,344,2016,4,2,3,Transient,FRA,119.28,5,596.41,No Deposit,TA/TO,Direct
Resort Hotel,0,12,2016,10,1,1,Contract,CHE,38.91,2,77.83,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,125,2017,11,0,2,Transient,PRT,138.31,2,276.61,No Deposit,TA/TO,Online TA
City Hotel,0,68,2017,10,0,1,Transient,GBR,130.26,1,130.26,No Deposit,TA/TO,Complementary
City Hotel,0,1,2017,6,1,2,Transient,GBR,101.03,3,303.1,No Deposit,TA/TO,Online TA
Resort Hotel,0,305,2017,10,1,0,Transient,GBR,147.75,1,147.75,No Deposit,TA/TO,Corporate
Resort Hotel,0,86,2017,9,2,0,Group,GBR,98.11,2,196.21,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,43,2015,6,1,0,Transient,FRA,149.88,1,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,32,2016,9,1,0,Transient,DEU,130.22,1,130.22,No Deposit,TA/TO,Online TA
Resort Hotel,0,349,2016,10,1,2,Transient,FRA,90.06,3,270.19,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,28,2017,9,2,3,Transient,GBR,141.05,5,705.27,No Deposit,TA/TO,Aviation
Resort Hotel,0,15,2015,8,0,3,Transient,SWE,88.61,3,265.84,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,42,2016,5,1,3,Transient,CHE,102.21,4,408.83,No Deposit,TA/TO,Online TA
City Hotel,0,67,2015,9,2,0,Transient-Party,GBR,79.97,2,159.94,No Deposit,Direct,Offline TA/TO
City Hotel,0,22,2017,3,3,2,Contract,BEL,114.59,5,572.94,No Deposit,TA/TO,Online TA
City Hotel,1,37,2015,5,0,1,Transient,PRT,122.8,1,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,0,81,2017,11,1,0,Transient,ESP,60.7,1,60.7,No Deposit,TA/TO,Online TA
City Hotel,0,3,2016,7,2,0,Transient,GBR,74.02,2,148.05,No Deposit,TA/TO,Online TA
City Hotel,0,59,2017,10,3,0,Transient,DEU,154.28,3,462.84,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,129,2015,4,2,0,Transient,BRA,63.27,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,1,236,2016,6,1,2,Transient,PRT,96.38,3,0.0,No Deposit,Direct,Complementary
City Hotel,0,353,2017,11,1,2,Transient-Party,PRT,108.58,3,325.74,No Deposit,TA/TO,Online TA
Resort Hotel,0,0,2015,12,0,2,Transient,DEU,64.58,2,129.15,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,7,2015,7,1,0,Transient,PRT,141.16,1,141.16,Non Refund,TA/TO,Offline TA/TO
City Hotel,0,4,2016,4,0,2,Transient,RUS,45.27,2,90.53,No Deposit,TA/TO,Online TA
Resort Hotel,0,73,2015,4,2,1,Transient,PRT,46.21,3,138.62,No Deposit,Corporate,Complementary
City Hotel,1,293,2015,8,1,2,Transient,PRT,98.17,3,0.0,Non Refund,TA/TO,Online TA
City Hotel,0,23,2016,6,2,2,Transient,FRA,160.99,4,643.95,Non Refund,TA/TO,Offline TA/TO
City Hotel,1,21,2015,7,2,0,Transient,GBR,95.59,2,0.0,No Deposit,GDS,Offline TA/TO
Resort Hotel,1,18,2016,9,1,1,Transient,ESP,32.44,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,26,2017,7,0,0,Transient,GBR,78.2,1,78.2,No Deposit,Direct,Groups
City Hotel,0,155,2016,10,2,0,Transient,PRT,162.8,2,325.6,No Deposit,TA/TO,Online TA
Resort Hotel,0,427,2016,3,2,5,Transient,GBR,104.83,7,733.83,No Deposit,TA/TO,Online TA
Resort Hotel,0,111,2015,1,1,2,Transient,ESP,78.9,3,236.71,No Deposit,Corporate,Online TA
City Hotel,0,18,2016,3,3,0,Transient,CHE,124.74,3,374.22,No Deposit,GDS,Offline TA/TO
City Hotel,0,24,2017,7,1,0,Transient,PRT,132.19,1,132.19,No Deposit,TA/TO,Corporate
City Hotel,1,312,2015,4,1,1,Transient-Party,USA,88.71,2,0.0,No Deposit,TA/TO,Online TA
Resort Hotel,1,53,2015,4,0,0,Transient,PRT,72.57,1,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,6,2017,2,2,0,Transient,CHN,90.87,2,181.74,No Deposit,TA/TO,Online TA
City Hotel,0,16,2015,4,1,0,Transient-Party,FRA,100.13,1,100.13,No Deposit,TA/TO,Online TA
Resort Hotel,0,11,2016,6,0,2,Transient,PRT,110.48,2,220.96,No Deposit,TA/TO,Online TA
Resort Hotel,0,84,2015,9,2,3,Transient,PRT,98.59,5,492.97,No Deposit,TA/TO,Online TA
City Hotel,0,557,2017,6,1,1,Transient-Party,DEU,95.43,2,190.86,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,1,43,2016,4,1,1,Transient-Party,PRT,83.62,2,0.0,No Deposit,TA/TO,Online TA
City Hotel,0,140,2016,7,2,0,Transient-Party,DEU,190.25,2,380.51,No Deposit,TA/TO,Online TA
Resort Hotel,0,148,2016,4,3,0,Contract,ITA,116.25,3,348.74,No Deposit,Corporate,Online TA
City Hotel,1,34,2015,10,2,2,Transient,AUT,123.71,4,0.0,No Deposit,TA/TO,Groups
City Hotel,0,30,2016,6,2,1,Transient,DEU,107.36,3,322.09,No Deposit,TA/TO,Offline TA/TO
Resort Hotel,0,0,2017,6,0,0,Transient,DEU,53.41,1,53.41,No Deposit,TA/TO,Offline TA/TO
City Hotel,1,24,2016,7,1,0,Transient,PRT,92.31,1,0.0,No Deposit,TA/TO,Offline TA/TO
City Hotel,0,176,2016,1,2,1,Transient-Party,PRT,20.41,3,61.22,Non Refund,TA/TO,Online TA
Resort Hotel,0,12,2016,8,1,0,Transient,ESP,62.84,1,62.84,No Deposit,TA/TO,Corporate
Resort Hotel,0,67,2016,3,1,2,Transient,PRT,88.62,3,265.85,No Deposit,TA/TO,Groups
City Hotel,0,4,2017,12,2,1,Transient,GBR,129.45,3,388.34,No Deposit,TA/TO,Direct
Resort Hotel,0,142,2016,12,1,0,Transient,ITA,88.43,1,88.43,No Deposit,TA/TO,Online TA
City Hotel,0,56,2017,12,0,1,Transient,NLD,97.96,1,97.96,No Deposit,TA/TO,Online TA
